mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, -9.006272e-13, 6.716058e-12, 9.006272e-13, -0.000000e+00, -1.119776e+02, -6.716058e-12, 1.119776e+02, -0.000000e+00, -0.000000e+00, -4.669271e-12, 1.119776e+02, 4.669271e-12, -0.000000e+00, 1.392824e-11, -1.119776e+02, -1.392824e-11, -0.000000e+00, -0.000000e+00, -1.119776e+02, 1.492587e-12, 1.119776e+02, -0.000000e+00, 2.572915e-12, -1.492587e-12, -2.572915e-12, -0.000000e+00
-5.558639e-02, -0.000000e+00, 4.179345e-12, -3.640207e-12, -4.179345e-12, -0.000000e+00, -1.119645e+02, 3.640207e-12, 1.119645e+02, -0.000000e+00, -0.000000e+00, -4.702910e-14, 1.119645e+02, 4.702910e-14, -0.000000e+00, 8.328846e-12, -1.119645e+02, -8.328846e-12, -0.000000e+00, -0.000000e+00, -1.119645e+02, -9.792327e-14, 1.119645e+02, -0.000000e+00, -3.052670e-12, 9.792327e-14, 3.052670e-12, -0.000000e+00
-5.511532e-02, -0.000000e+00, -8.742269e-13, 8.476668e-13, 8.742269e-13, -0.000000e+00, -1.119512e+02, -8.476668e-13, 1.119512e+02, -0.000000e+00, -0.000000e+00, 1.039536e-12, 1.119512e+02, -1.039536e-12, -0.000000e+00, 3.736983e-12, -1.119512e+02, -3.736983e-12, -0.000000e+00, -0.000000e+00, -1.119512e+02, -1.480582e-13, 1.119512e+02, -0.000000e+00, 1.203280e-13, 1.480582e-13, -1.203280e-13, -0.000000e+00
-5.464425e-02, -0.000000e+00, 3.686534e-12, -3.807797e-12, -3.686534e-12, -0.000000e+00, -1.119377e+02, 3.807797e-12, 1.119377e+02, -0.000000e+00, -0.000000e+00, -5.101993e-13, 1.119377e+02, 5.101993e-13, -0.000000e+00, -7.489297e-12, -1.119377e+02, 7.489297e-12, -0.000000e+00, -0.000000e+00, -1.119377e+02, 5.072962e-12, 1.119377e+02, -0.000000e+00, 5.700169e-12, -5.072962e-12, -5.700169e-12, -0.000000e+00
-5.417318e-02, -0.000000e+00, 3.786697e-12, -9.374125e-12, -3.786697e-12, -0.000000e+00, -1.119240e+02, 9.374125e-12, 1.119240e+02, -0.000000e+00, -0.000000e+00, 4.504214e-12, 1.119240e+02, -4.504214e-12, -0.000000e+00, -1.377125e-11, -1.119240e+02, 1.377125e-11, -0.000000e+00, -0.000000e+00, -1.119240e+02, -2.361408e-12, 1.119240e+02, -0.000000e+00, -4.238181e-12, 2.361408e-12, 4.238181e-12, -0.000000e+00
-5.370211e-02, -0.000000e+00, -4.751157e-13, 5.224722e-12, 4.751157e-13, -0.000000e+00, -1.119097e+02, -5.224722e-12, 1.119097e+02, -0.000000e+00, -0.000000e+00, -3.358172e-12, 1.119097e+02, 3.358172e-12, -0.000000e+00, 2.651343e-12, -1.119097e+02, -2.651343e-12, -0.000000e+00, -0.000000e+00, -1.119097e+02, 7.118690e-13, 1.119097e+02, -0.000000e+00, 2.568734e-12, -7.118690e-13, -2.568734e-12, -0.000000e+00
-5.323104e-02, -0.000000e+00, 5.452206e-13, -8.636292e-12, -5.452206e-13, -0.000000e+00, -1.118952e+02, 8.636292e-12, 1.118952e+02, -0.000000e+00, -0.000000e+00, 1.655696e-12, 1.118952e+02, -1.655696e-12, -0.000000e+00, -3.351707e-12, -1.118952e+02, 3.351707e-12, -0.000000e+00, -0.000000e+00, -1.118952e+02, -4.776496e-12, 1.118952e+02, -0.000000e+00, -3.254113e-12, 4.776496e-12, 3.254113e-12, -0.000000e+00
-5.275996e-02, -0.000000e+00, 7.443088e-12, -9.199873e-12, -7.443088e-12, -0.000000e+00, -1.118804e+02, 9.199873e-12, 1.118804e+02, -0.000000e+00, -0.000000e+00, 9.457180e-14, 1.118804e+02, -9.457180e-14, -0.000000e+00, -2.252723e-12, -1.118804e+02, 2.252723e-12, -0.000000e+00, -0.000000e+00, -1.118804e+02, -4.832667e-12, 1.118804e+02, -0.000000e+00, -2.433124e-12, 4.832667e-12, 2.433124e-12, -0.000000e+00
-5.228889e-02, -0.000000e+00, 1.434948e-12, 2.987906e-12, -1.434948e-12, -0.000000e+00, -1.118644e+02, -2.987906e-12, 1.118644e+02, -0.000000e+00, -0.000000e+00, 1.870354e-12, 1.118644e+02, -1.870354e-12, -0.000000e+00, -1.903627e-12, -1.118644e+02, 1.903627e-12, -0.000000e+00, -0.000000e+00, -1.118644e+02, 4.855156e-12, 1.118644e+02, -0.000000e+00, -3.477386e-12, -4.855156e-12, 3.477386e-12, -0.000000e+00
-5.181782e-02, -0.000000e+00, 1.181811e-12, 7.705145e-12, -1.181811e-12, -0.000000e+00, -1.118494e+02, -7.705145e-12, 1.118494e+02, -0.000000e+00, -0.000000e+00, -1.257589e-12, 1.118494e+02, 1.257589e-12, -0.000000e+00, 1.314512e-12, -1.118494e+02, -1.314512e-12, -0.000000e+00, -0.000000e+00, -1.118494e+02, -2.850665e-13, 1.118494e+02, -0.000000e+00, 4.980950e-12, 2.850665e-13, -4.980950e-12, -0.000000e+00
-5.134675e-02, -0.000000e+00, 1.340828e-12, 4.039487e-12, -1.340828e-12, -0.000000e+00, -1.118323e+02, -4.039487e-12, 1.118323e+02, -0.000000e+00, -0.000000e+00, 8.539649e-14, 1.118323e+02, -8.539649e-14, -0.000000e+00, 8.877794e-12, -1.118323e+02, -8.877794e-12, -0.000000e+00, -0.000000e+00, -1.118323e+02, -1.311982e-13, 1.118323e+02, -0.000000e+00, -4.889304e-12, 1.311982e-13, 4.889304e-12, -0.000000e+00
-5.087568e-02, -0.000000e+00, 7.036985e-13, -8.550301e-12, -7.036985e-13, -0.000000e+00, -1.118151e+02, 8.550301e-12, 1.118151e+02, -0.000000e+00, -0.000000e+00, -2.829527e-12, 1.118151e+02, 2.829527e-12, -0.000000e+00, -7.070560e-12, -1.118151e+02, 7.070560e-12, -0.000000e+00, -0.000000e+00, -1.118151e+02, 1.405925e-13, 1.118151e+02, -0.000000e+00, 6.111641e-13, -1.405925e-13, -6.111641e-13, -0.000000e+00
