-2.950000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
2.331184e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
2.925408e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
3.656760e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
4.555133e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
5.656701e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
7.005203e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
8.653486e-03, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
1.066536e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
1.311782e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
1.610372e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
1.973495e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
2.414630e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
2.950000e-02, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf, -nan, -nan, -nan, -nan, -inf
