mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 2.876239e-14, 1.412754e-14, -1.293202e-13, 2.061268e-14, 7.358779e-15, 2.035998e-13, 3.980559e-13, -1.331849e-13, -9.273740e-14, 5.372559e-14, 3.837090e-14, 2.216591e-13, -1.183795e-13, -2.155838e-13, -3.655912e-13, -3.221990e-13, 4.384014e-13, 1.203270e-13, -2.637892e-13, -1.415188e-13, 2.847499e-14, -4.521734e-14, -4.752883e-13, -7.389601e-14, -3.043383e-13, -1.672857e-13, 4.915301e-14
-7.900000e-02, 7.621200e-14, 3.835881e-14, -1.473833e-13, -1.220965e-13, -7.585003e-14, 2.499029e-13, 1.001926e-13, -3.231249e-13, -5.335127e-14, -1.506480e-13, -7.566023e-14, 2.775375e-13, 1.393351e-13, -5.858874e-14, -4.436149e-13, -7.596566e-13, 2.206758e-13, 1.658815e-13, -2.031211e-13, -1.058985e-13, 2.912668e-14, -8.892872e-14, -4.761477e-13, -8.394683e-14, -6.362765e-14, -1.495388e-14, 1.918013e-14
-7.800000e-02, -8.046852e-14, -5.079966e-14, -9.755499e-14, 9.599912e-14, 5.012124e-14, 1.755751e-13, -1.778947e-13, -4.315982e-13, -1.982028e-14, 1.114514e-13, 7.250214e-14, 1.882570e-13, -1.276335e-13, -2.093469e-13, -3.303187e-13, 1.574802e-13, 6.593656e-13, 5.593240e-14, -4.911052e-13, -2.761433e-13, 5.829791e-14, 3.395353e-13, -2.152849e-13, -1.121391e-13, -5.161391e-13, -2.912439e-13, 7.415542e-14
-7.700000e-02, -1.686266e-14, -9.403110e-15, -7.895139e-14, 1.934797e-14, 8.965013e-15, 1.340628e-13, 1.078873e-15, -2.762844e-13, -4.158705e-14, 1.375134e-13, 8.217566e-14, 1.369857e-13, -7.284691e-14, -1.732364e-13, -2.618907e-13, 6.201662e-13, 8.480238e-13, -1.156238e-16, -3.591687e-13, -2.002438e-13, 4.061436e-14, 3.721608e-13, -1.759058e-13, -1.340799e-13, 6.339923e-13, 3.846071e-13, -6.515930e-14
-7.600000e-02, -1.275597e-13, -7.695802e-14, -7.398124e-14, 6.669142e-14, 3.429529e-14, 1.591721e-13, -7.081811e-13, -7.038211e-13, 4.765013e-14, 1.160357e-13, 7.393166e-14, 1.636291e-13, -9.328979e-16, -1.217565e-13, -3.193710e-13, 8.369350e-13, 1.004454e-12, -3.327219e-14, -7.097685e-13, -4.053291e-13, 9.694612e-14, 5.629836e-13, -4.953762e-14, -1.340553e-13, -1.424733e-12, -8.102582e-13, 1.821316e-13
-7.500000e-02, 2.568068e-15, -1.225342e-15, -9.306919e-14, 5.240065e-15, -1.967710e-15, 1.562207e-13, 7.206706e-14, -2.397389e-13, -4.461896e-14, -9.932060e-15, -8.771085e-16, 1.711640e-13, 3.774629e-14, -9.370289e-14, -2.919530e-13, -2.458029e-14, 4.678701e-13, 6.855196e-14, -3.298420e-13, -1.850565e-13, 3.070989e-14, 1.147670e-13, -2.874330e-13, -6.037693e-14, -4.915323e-13, -2.927157e-13, 7.030063e-14
-7.400000e-02, -1.782070e-14, -1.170911e-14, -7.556850e-14, 2.914397e-14, 1.419790e-14, 1.282526e-13, 1.287196e-14, -2.432102e-13, -3.651794e-14, 9.414617e-14, 5.799949e-14, 1.309018e-13, -7.815951e-14, -1.570890e-13, -2.366753e-13, 2.914497e-13, 6.012552e-13, 2.828212e-14, -1.824341e-13, -1.016564e-13, -1.301497e-14, 1.342422e-13, -2.619613e-13, -3.892366e-14, 7.310586e-13, 3.916411e-13, -7.630994e-14
-7.300000e-02, -6.053148e-14, -3.818676e-14, -7.744088e-14, 3.480348e-14, 1.593825e-14, 1.463163e-13, -2.978347e-13, -4.312349e-13, 3.733662e-15, -3.389946e-15, 2.818293e-15, 1.614050e-13, 4.798879e-14, -7.739193e-14, -2.795355e-13, 5.689312e-14, 4.800142e-13, 5.134490e-14, -4.220654e-13, -2.393396e-13, 4.529182e-14, 3.592135e-13, -1.133259e-13, -9.345851e-14, -2.837336e-13, -1.638009e-13, 4.383447e-14
-7.200000e-02, -8.529164e-14, -5.079692e-14, -5.918481e-14, 1.132177e-13, 6.202702e-14, 1.071895e-13, -1.347918e-13, -3.044300e-13, -1.539883e-14, 1.605247e-13, 9.713272e-14, 1.132525e-13, -1.612085e-13, -1.924220e-13, -2.138019e-13, 4.387581e-13, 6.537969e-13, 3.854643e-15, -4.568494e-13, -2.597774e-13, 6.369986e-14, 5.227393e-13, -1.335730e-15, -1.420930e-13, 1.062677e-13, 8.757400e-14, -5.047100e-15
-7.100000e-02, 3.539330e-14, 1.885495e-14, -8.071938e-14, -5.627664e-14, -3.517086e-14, 1.358279e-13, 5.253448e-14, -1.992248e-13, -3.522485e-14, -2.724695e-14, -1.275135e-14, 1.437960e-13, 4.304524e-14, -7.000473e-14, -2.402048e-13, -1.288595e-13, 3.173066e-13, 6.818146e-14, -2.463923e-13, -1.380792e-13, 2.115987e-14, 7.427146e-14, -2.447723e-13, -4.631429e-14, -3.291333e-13, -1.980165e-13, 4.880431e-14
-7.000000e-02, 2.355112e-14, 1.115022e-14, -8.147848e-14, 5.282305e-16, -2.906939e-15, 1.297643e-13, 2.183274e-13, -9.804510e-14, -5.328010e-14, -1.103767e-15, 4.229912e-15, 1.412681e-13, -6.139562e-15, -9.248364e-14, -2.353064e-13, -1.524399e-13, 2.976538e-13, 6.728868e-14, -3.147552e-13, -1.762680e-13, 4.149786e-14, 2.461839e-13, -1.290636e-13, -8.870077e-14, -1.543313e-13, -7.515935e-14, 2.601835e-14
-6.900000e-02, -2.564532e-14, -1.673760e-14, -6.668186e-14, 5.047733e-14, 2.556254e-14, 1.122018e-13, 4.750887e-14, -1.802978e-13, -3.159757e-14, 3.093997e-14, 2.260231e-14, 1.276024e-13, -6.790016e-14, -1.212843e-13, -2.117597e-13, -1.527815e-13, 2.728511e-13, 6.482182e-14, -2.673346e-13, -1.473485e-13, 4.523712e-14, 1.866412e-13, -1.475458e-13, -9.525328e-14, -1.276942e-13, -4.502239e-14, 2.153040e-14
-6.800000e-02, 1.154467e-13, 6.733310e-14, -7.890512e-14, -1.567398e-13, -9.111477e-14, 1.247122e-13, 2.427985e-13, -5.106269e-14, -5.381246e-14, -1.415953e-13, -8.056971e-14, 1.325315e-13, 2.596844e-13, 6.869652e-14, -2.261711e-13, -2.948484e-14, 3.074083e-13, 4.832026e-14, -2.135558e-13, -1.178307e-13, 1.969770e-14, 8.598347e-14, -1.929661e-13, -4.485313e-14, -2.123226e-13, -1.254696e-13, 3.300424e-14
-6.700000e-02, -5.679595e-14, -3.310185e-14, -3.910712e-14, 7.330065e-14, 4.061292e-14, 7.072286e-14, -9.606200e-14, -2.166978e-13, -1.254764e-14, 1.250219e-13, 7.432455e-14, 7.537497e-14, -1.221930e-13, -1.452064e-13, -1.453835e-13, 3.688999e-13, 4.997726e-13, -9.509986e-16, -2.871741e-13, -1.611325e-13, 4.518956e-14, 1.883775e-13, -1.159349e-13, -8.007524e-14, -3.863670e-13, -2.031017e-13, 5.239598e-14
-6.600000e-02, 1.830530e-14, 8.947794e-15, -6.208943e-14, 3.541787e-14, 1.820266e-14, 9.047124e-14, 3.439422e-13, 2.749679e-14, -6.285008e-14, 2.705994e-14, 1.883183e-14, 1.014522e-13, -1.573605e-13, -1.619472e-13, -1.454853e-13, -6.029245e-13, -6.491842e-14, 1.122053e-13, -2.263961e-13, -1.250912e-13, 3.207681e-14, 7.806891e-14, -1.694412e-13, -5.156316e-14, -4.899096e-13, -2.730116e-13, 6.490871e-14
-6.500000e-02, -2.086218e-14, -1.352066e-14, -4.752317e-14, 6.949335e-14, 3.773578e-14, 7.319874e-14, 1.717037e-13, -5.402661e-14, -4.105168e-14, 4.011577e-14, 2.575803e-14, 8.805673e-14, -8.106784e-14, -1.119632e-13, -1.449909e-13, -1.226405e-13, 1.973864e-13, 5.134902e-14, -1.865906e-13, -1.027534e-13, 3.327834e-14, 9.391640e-14, -1.450854e-13, -6.785296e-14, -1.763015e-13, -7.973550e-14, 2.631505e-14
